2025-05-07 17:27:30,099 - NEATTraining - INFO - Starting NEAT agent training
2025-05-07 17:27:30,103 - NEATTraining - INFO - Environment: CartPole-v1
2025-05-07 17:27:30,103 - NEATTraining - INFO - State space: Box([-4.8               -inf -0.41887903        -inf], [4.8               inf 0.41887903        inf], (4,), float32)
2025-05-07 17:27:30,103 - NEATTraining - INFO - Action space: Discrete(2)
2025-05-07 17:28:11,270 - NEATTraining - INFO - Generation 91: Average Return = 19.32, Best Return = 500.00
2025-05-07 17:28:11,324 - NEATTraining - INFO - Generation 92: Average Return = 23.52, Best Return = 500.00
2025-05-07 17:28:11,373 - NEATTraining - INFO - Generation 93: Average Return = 19.18, Best Return = 500.00
2025-05-07 17:28:11,424 - NEATTraining - INFO - Generation 94: Average Return = 19.50, Best Return = 500.00
2025-05-07 17:28:11,493 - NEATTraining - INFO - Generation 95: Average Return = 27.58, Best Return = 500.00
2025-05-07 17:28:11,550 - NEATTraining - INFO - Generation 96: Average Return = 18.84, Best Return = 500.00
2025-05-07 17:28:11,602 - NEATTraining - INFO - Generation 97: Average Return = 20.46, Best Return = 500.00
2025-05-07 17:28:11,670 - NEATTraining - INFO - Generation 98: Average Return = 26.34, Best Return = 500.00
2025-05-07 17:28:11,719 - NEATTraining - INFO - Generation 99: Average Return = 19.54, Best Return = 500.00
2025-05-07 17:28:11,778 - NEATTraining - INFO - Generation 100: Average Return = 20.30, Best Return = 500.00
2025-05-07 17:28:11,827 - NEATTraining - INFO - Generation 101: Average Return = 18.08, Best Return = 500.00
2025-05-07 17:28:11,888 - NEATTraining - INFO - Generation 102: Average Return = 27.44, Best Return = 500.00
2025-05-07 17:28:11,945 - NEATTraining - INFO - Generation 103: Average Return = 24.96, Best Return = 500.00
2025-05-07 17:28:12,160 - NEATTraining - INFO - Generation 104: Average Return = 28.18, Best Return = 500.00
2025-05-07 17:28:12,210 - NEATTraining - INFO - Generation 105: Average Return = 18.22, Best Return = 500.00
